experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,egg_turning_on,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,door_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1771870369.7273107,20,1771870685.4638948,38.73,0.5760000000000001,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870695.5086725,1771870553.842379,0,0,1,0,1,-1,0,0,1,True
1771870369.7273107,20,1771870705.5514348,38.77,0.5716,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870715.6000373,1771870553.842379,0,0,1,0,1,-1,0,0,1,True
1771870369.7273107,20,1771870725.6535747,38.78,0.5574,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870735.6930287,1771870733.8428526,0,0,1,0,1,-1,False,True,1,True
1771870369.7273107,20,1771870745.7672691,38.81,0.5716,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870755.823666,1771870733.8428526,0,0,1,0,1,-1,0,0,1,True
1771870369.7273107,20,1771870765.8741407,38.83,0.5666,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870775.9278316,1771870733.8428526,0,0,1,0,1,-1,False,True,1,True
1771870369.7273107,20,1771870785.976496,38.9,0.5659000000000001,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870796.0267897,1771870733.8428526,0,0,1,0,1,-1,False,True,1,True
1771870369.7273107,20,1771870806.1005497,38.94,0.5776,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870816.140085,1771870733.8428526,0,0,1,0,1,-1,0,0,1,True
1771870369.7273107,20,1771870826.1808212,38.97,0.5599000000000001,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870836.2113316,1771870733.8428526,0,0,1,0,1,-1,False,True,1,True
1771870369.7273107,20,1771870846.261744,38.96,0.5739,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870856.3187013,1771870733.8428526,0,0,1,0,1,-1,0,0,1,True
1771870369.7273107,20,1771870866.376103,38.99,0.5675,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870876.4270906,1771870733.8428526,0,0,1,0,1,-1,False,True,1,True
1771870904.4651017,20,0,39.01,0.5744,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870908.6222923,1771870908.645658,0,0,1,0,1,-1,0,0,0.47464742600660725,False
1771870904.4651017,20,1771870918.651828,39.04,0.5664,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870928.7095683,1771870908.645658,0,0,1,0,1,-1,False,True,0.4928500372560761,False
1771870904.4651017,20,1771870938.7334712,39.07,0.5765,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870948.7754364,1771870908.645658,0,0,1,0,1,-1,0,0,0.5079931673016482,False
1771870904.4651017,20,1771870958.807644,39.07,0.5818,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870968.8386152,1771870908.645658,0,0,1,0,1,-1,0,0,0.5491214738613981,False
