experiment_begin_timestamp,experiment_sec,experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,humidity_2,thermocouple_1,thermocouple_2,target_temperature,heating_proportional_Cf,cooling_proportional_Cf,target_humidity_high,target_humidity_low,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,fan_on,humidifyer_on,heater_on
-1000,0,1728533145.8343992,20,1728533786.3560567,37.37,0.4302,37.78,0.39799999999999996,40.253,39.751,40.33,5.0,1.0,0.45,0.4,2,1728533805.8067482,0,0,0,0.3849999999999909
-1000,0,1728533145.8343992,20,1728533809.0579958,37.41,0.43,37.78,0.3972,40.204,39.671,40.33,5.0,1.0,0.45,0.4,2,1728533828.509195,0,0,0,0.6299999999999883
-1000,0,1728533145.8343992,20,1728533831.7568398,37.44,0.4293,37.79,0.3971,40.125,39.716,40.33,5.0,1.0,0.45,0.4,2,1728533851.2126496,0,0,0,1
-1000,0,1728533145.8343992,20,1728533854.4605029,37.45,0.4288,37.81,0.3968,40.256,39.613,40.33,5.0,1.0,0.45,0.4,2,1728533873.9219913,0,0,0,0.36999999999999034
-1000,0,1728533145.8343992,20,1728533877.177426,37.48,0.42840000000000006,37.84,0.39640000000000003,40.19,39.624,40.33,5.0,1.0,0.45,0.4,2,1728533896.6327043,0,0,0,0.7000000000000028
-1000,0,1728533145.8343992,20,1728533899.8880317,37.49,0.428,37.84,0.3956,40.242,39.65,40.33,5.0,1.0,0.45,0.4,2,1728533919.3432758,0,0,0,0.44000000000000483
-1000,0,1728533145.8343992,20,1728533922.5977137,37.5,0.4275,37.85,0.3954,40.195,39.62,40.33,5.0,1.0,0.45,0.4,2,1728533942.0565724,0,0,0,0.67499999999999
-1000,0,1728533145.8343992,20,1728533945.3030243,37.51,0.4272,37.9,0.39490000000000003,40.243,39.74,40.33,5.0,1.0,0.45,0.4,2,1728533964.7691677,0,0,0,0.43499999999998096
-1000,0,1728533145.8343992,20,1728533968.0183432,37.56,0.4266,37.91,0.3944,40.283,39.6,40.33,5.0,1.0,0.45,0.4,2,1728533987.4796612,0,0,0,0.23499999999998522
-1000,0,1728533145.8343992,20,1728533990.728612,37.59,0.4261,37.93,0.394,40.242,39.687,40.33,5.0,1.0,0.45,0.4,2,1728534010.181887,0,0,0,0.44000000000000483
-1000,0,1728533145.8343992,20,1728534013.433906,37.6,0.4257,38.0,0.39390000000000003,40.239,39.591,40.33,5.0,1.0,0.45,0.4,2,1728534032.8884935,0,0,0,0.4550000000000054
-1000,0,1728533145.8343992,20,1728534036.1345985,37.67,0.4253,38.02,0.39390000000000003,40.208,39.6,40.33,5.0,1.0,0.45,0.4,2,1728534055.5875278,0,0,0,0.6099999999999994
-1000,0,1728533145.8343992,20,1728534058.8336043,37.66,0.425,37.98,0.3931,40.248,39.685,40.33,5.0,1.0,0.45,0.4,2,1728534078.2945921,0,0,0,0.4100000000000037
-1000,0,1728533145.8343992,20,1728534081.545743,37.7,0.4244,38.02,0.39280000000000004,40.233,39.741,40.33,5.0,1.0,0.45,0.4,2,1728534101.3545718,0,0,0,0.48500000000000654
-1000,0,1728533145.8343992,20,1728534104.6066635,37.71,0.4243,38.03,0.39270000000000005,40.168,39.699,40.33,5.0,1.0,0.45,0.4,2,1728534124.0616584,0,0,0,0.8099999999999952
-1000,0,1728533145.8343992,20,1728534127.3097856,37.75,0.42369999999999997,38.06,0.3922,40.26,39.702,40.33,5.0,1.0,0.45,0.4,2,1728534146.7694771,0,0,0,0.3500000000000014
-1000,0,1728533145.8343992,20,1728534150.0200028,37.73,0.4233,38.07,0.392,40.105,39.663,40.33,5.0,1.0,0.45,0.4,2,1728534169.473243,0,0,0,1
-1000,0,1728533145.8343992,20,1728534172.7262924,37.79,0.423,38.1,0.39159999999999995,40.214,39.767,40.33,5.0,1.0,0.45,0.4,2,1728534192.1799216,0,0,0,0.5799999999999983
-1000,0,1728533145.8343992,20,1728534195.4278457,37.75,0.4226,38.15,0.39130000000000004,40.264,39.642,40.33,5.0,1.0,0.45,0.4,2,1728534214.883117,0,0,0,0.329999999999977
-1000,0,1728533145.8343992,20,1728534218.1305149,37.82,0.42229999999999995,38.16,0.3908,40.228,39.679,40.33,5.0,1.0,0.45,0.4,2,1728534237.5908315,0,0,0,0.5099999999999838
-1000,0,1728533145.8343992,20,1728534240.8427775,37.84,0.4217,38.18,0.39,40.23,39.724,40.33,5.0,1.0,0.45,0.4,2,1728534260.4721923,0,0,0,0.5000000000000071
-1000,0,1728533145.8343992,20,1728534263.723652,37.87,0.4216,38.22,0.39,40.178,39.684,40.33,5.0,1.0,0.45,0.4,2,1728534283.1727035,0,0,0,0.7600000000000051
-1000,0,1728533145.8343992,20,1728534286.4231572,37.89,0.42119999999999996,38.2,0.39,40.117,39.702,40.33,5.0,1.0,0.45,0.4,2,1728534305.8878646,0,0,0,1
-1000,0,1728533145.8343992,20,1728534309.137464,37.89,0.42119999999999996,38.26,0.3897,40.243,39.764,40.33,5.0,1.0,0.45,0.4,2,1728534328.6911428,0,0,0,0.43499999999998096
-1000,0,1728533145.8343992,20,1728534331.9436915,37.92,0.4204,38.2,0.38920000000000005,40.172,39.696,40.33,5.0,1.0,0.45,0.4,2,1728534351.4597433,0,0,0,0.7900000000000063
-1000,0,1728533145.8343992,20,1728534354.7062867,37.93,0.4203,38.22,0.3891,40.234,39.713,40.33,5.0,1.0,0.45,0.4,2,1728534374.1647635,0,0,0,0.47999999999998266
-1000,0,1728533145.8343992,20,1728534377.4121082,37.92,0.41960000000000003,38.28,0.3889,40.223,39.825,40.33,5.0,1.0,0.45,0.4,2,1728534394.4105945,0,0,0,0.5349999999999966
-1000,0,1728533145.8343992,20,1728534397.6614647,37.94,0.41950000000000004,38.25,0.3887,40.156,39.776,40.33,5.0,1.0,0.45,0.4,2,1728534417.1131377,0,0,0,0.8699999999999974
-1000,0,1728533145.8343992,20,1728534420.3622086,37.95,0.4193,38.29,0.3884,40.132,39.74,40.33,5.0,1.0,0.45,0.4,2,1728534439.833428,0,0,0,0.990000000000002
-1000,0,1728533145.8343992,20,1728534443.0876997,37.96,0.41869999999999996,38.29,0.3879,40.17,39.793,40.33,5.0,1.0,0.45,0.4,2,1728534462.5905616,0,0,0,0.799999999999983
