experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1768957255.0221,20,1769055543.5237997,37.42,0.5854,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055563.2521033,1769055562.4237268,1769055561.896917,0.00851,1.0,0.00851,1.0,0,0,1,False
1768957255.0221,20,1769055563.6681316,37.38,0.5798,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055583.5358062,1769055562.4237268,1769055561.896917,1.0,1.0,1.0,1.0,0,0,1,False
1768957255.0221,20,1769055583.9512568,37.36,0.5750000000000001,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055603.8201683,1769055562.4237268,1769055561.896917,1.0,1.0,1.0,1.0,0,0,1,False
1768957255.0221,20,1769055604.2371821,37.38,0.5703,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055624.0897448,1769055562.4237268,1769055561.896917,1.0,1.0,1.0,1.0,0,0,1,False
1768957255.0221,20,1769055624.5053735,37.37,0.5693,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055644.3683648,1769055562.4237268,1769055561.896917,1.0,1.0,1.0,1.0,False,True,1,False
1768957255.0221,20,1769055644.7859027,37.39,0.5848,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055664.6268597,1769055562.4237268,1769055561.896917,1.0,1.0,1.0,1.0,0,0,1,False
1768957255.0221,20,1769055665.0361545,37.37,0.5889,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055684.9135256,1769055562.4237268,1769055561.896917,1.0,1.0,1.0,1.0,0,0,1,False
1768957255.0221,20,1769055685.3348505,37.33,0.5861999999999999,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055705.1949842,1769055562.4237268,1769055561.896917,1.0,1.0,1.0,1.0,0,0,1,False
1768957255.0221,20,1769055705.6114511,37.34,0.5799000000000001,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055725.473592,1769055562.4237268,1769055561.896917,1.0,0.00644,1.0,0.00644,0,0,1,False
1768957255.0221,20,1769055725.887625,37.37,0.5737,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055745.865986,1769055742.9597263,1769055561.896917,1.0,0.00711,1.0,0.00711,0,0,1,False
1768957255.0221,20,1769055746.281058,37.37,0.5661,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055766.1511028,1769055742.9597263,1769055561.896917,1.0,0.00763,1.0,0.00763,False,True,1,False
1768957255.0221,20,1769055766.5664241,37.41,0.5833,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055786.4174159,1769055742.9597263,1769055561.896917,1.0,0.0065,1.0,0.0065,0,0,1,False
1768957255.0221,20,1769055786.8336635,37.44,0.5859000000000001,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055806.7274222,1769055742.9597263,1769055561.896917,1.0,0.00717,1.0,0.00717,0,0,1,False
